Go back to description page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAZONE,INTERMEDIATE GEOGRAPHY CODE,INTERMEDIATE GEOGRAPHY NAME,MULTI-MEMBER WARD CODE,MULTI-MEMBER WARD NAME,SCOTTISH PARLIAMENTARY CONSTITUENCY CODE,SCOTTISH PARLIAMENTARY CONSTITUENCY NAME,LOCAL AUTHORITY CODE,LOCAL AUTHORITY NAME,COMMUNITY HEALTH PARTNERSHIP CODE,COMMUNITY HEALTH PARTNERSHIP NAME,HEALTH BOARD CODE,HEALTH BOARD NAME,SIX-FOLD URBAN RURAL CLASSIFICATION 2008 CODE,SIX-FOLD URBAN RURAL CLASSIFICATION 2008,"OVERALL 
SIMD
RANK 2009 V2","VIGINTILE
(SIMD 2009 V2)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2009 V2)","INCOME 
DOMAIN 
RANK 2009 V2","EMPLOYMENT 
DOMAIN
RANK 2009","HEALTH
DOMAIN
RANK 2009","EDUCATION
DOMAIN
RANK 2009","HOUSING
DOMAIN
RANK 2009","GEOGRAPHIC ACCESS
DOMAIN
RANK 2009","CRIME
DOMAIN
RANK 2009",TOTAL POPULATION (SAPE 2007),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2007)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","OVERALL 
SIMD
RANK 2006","VIGINTILE
(SIMD 2006)",DATAZONE IN THE 15% MOST DEPRIVED? (SIMD 2006),"CURRENT INCOME 
DOMAIN 
RANK 2006","EMPLOYMENT 
DOMAIN
RANK 2006","HEALTH
DOMAIN
RANK 2006","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2006","HOUSING
DOMAIN
RANK 2006","GEOGRAPHIC ACCESS TO SERVICES
DOMAIN
RANK 2006","CRIME
DOMAIN
RANK 2006",TOTAL POPULATION (SAPE 2004),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2004)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","OVERALL 
SIMD
RANK 2004","VIGINTILE
(SIMD 2004)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2004)","CURRENT INCOME 
DOMAIN 
RANK 2004","EMPLOYMENT 
DOMAIN
RANK 2004","HEALTH
DOMAIN
RANK 2004","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2004","HOUSING
DOMAIN
RANK 2004","GEOGRAPHIC ACCESS AND TELECOMMUNICATIONS
DOMAIN
RANK 2004",TOTAL POPULATION (CENSUS 2001),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(CENSUS 2001)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)"
S01000650,S02000118,Angus - Forfar West,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,3754,12,No,3658,3909,3683,2379,2711,2912,3865,695,416,75,11.0,35,8.0,3197,10,No,2747,3565,3981,1368,2711,4847,3952,706,426,95,13.5,42,9.9,3871,12,No,3409,4326,4153,1730,2711,5744,737,421,81,11,34,8.1
S01000651,S02000119,Angus - Forfar Central,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2655,9,No,2085,2501,2368,3171,4193,5763,1577,848,456,155,19.0,55,13.0,3054,10,No,2348,2657,3065,3606,4193,5789,1885,751,419,115,15.3,55,13.1,4193,13,No,3187,3678.5,4461,3863,4193,5475,806,444,96,11.9,45,10.1
S01000652,S02000118,Angus - Forfar West,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,4300,14,No,3700,3899,4045,4172,3887,2915,5162,818,418,85,11.0,35,8.0,4389,14,No,3477,4500.5,3821,3750,3887,3710,5122,819,433,85,10.4,31,7.2,4734,15,No,3674.5,5022.5,5694,3438,3887,3595,812,447,81,10,28,6.3
S01000653,S02000119,Angus - Forfar Central,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2440,8,No,2131,2282,2808,2585,3728,5688,610,969,517,175,18.0,70,13.0,2482,8,No,1629,2577,3165,2605,3728,5816,1316,901,461,178,19.8,62,13.4,3390,11,No,2238,3656,4230,2348,3728,5635,962,480,161,16.7,49,10.2
S01000654,S02000118,Angus - Forfar West,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2276,7,No,1833,2233,2776,1931,2101.5,4798,2260,886,525,175,20.0,70,14.0,2694,9,No,2331.5,3197.5,2849,2019,2101.5,4993,929,890,523,137,15.4,58,11.1,3237,10,No,2200.5,3440,5200,2215,2101.5,5324,943,558,160,17,61,10.9
S01000655,S02000119,Angus - Forfar Central,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,1561,5,No,1246,1406,2347,1620,4473,3357,1855,750,459,185,25.0,80,18.0,1529,5,No,1433.5,1525,2305,733,4473,3556,3069,746,467,158,21.2,88,18.8,2382,8,No,1484,2364.5,3313,2355,4473,4592,797,504,176,22.1,77,15.3
S01000656,S02000119,Angus - Forfar Central,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2411,8,No,1839,2878,3195,1784,2018,5645,812,758,502,155,20.0,55,11.0,2228,7,No,2220,3279,3870,647,2018,5659,379,774,482,124,16.0,52,10.8,2854,9,No,2477,3124,3707,1315,2018,6103,790,496,122,15.4,60,12.1
S01000657,S02000119,Angus - Forfar Central,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2126,7,No,2234,1459,2767,1954,4026,3429,4105,703,404,125,18.0,70,18.0,1982,7,No,1958,1268,2307,2486,4026,4034,3636,698,387,123,17.6,80,20.7,2798,9,No,2301,2160,3808,2740,4026,4511,760,410,125,16.4,67,16.3
S01000658,S02000119,Angus - Forfar Central,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,1893,6,No,1585,2260,2497,1870,1971,6293,187,539,320,115,22.0,40,13.0,1845,6,No,1234,3045,2765,1476,1971,6332,142,529,311,121,22.9,36,11.6,2740,9,No,1669,3140,4792,1802,1971,6313,578,358,119,20.6,43,12
S01000659,S02000120,Angus - Forfar East,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,4805,15,No,4646,4158,4454,4443,5127,2715,5409,1344,747,100,7.0,55,7.0,4915,16,No,4196,4773,4713,4062,5127,3669,4395,1242,723,95,7.6,47,6.5,5206,17,No,4829,4307.5,6000,3946,5127,4090,1066,640,60,5.6,52,8.1
S01000660,S02000120,Angus - Forfar East,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,5946,19,No,5989,5468,5210,5779,6465,2995,4153,1066,574,35,3.0,25,4.0,5944,19,No,5771,5545,5174,4835,6465,4011,3614,1066,596,32,3.0,28,4.7,5698,18,No,5408,5570,5904,5016,6465,1855,974,551,37,3.8,27,4.9
S01000661,S02000120,Angus - Forfar East,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,3800,12,No,3643,3155,3771,3021,4665,4088,3384,737,454,80,11.0,45,10.0,4287,14,No,3529,3886.5,4415,3414,4665,5390,2887,745,439,76,10.2,39,8.9,4824,15,No,4125,4369.5,4482,4098,4665,4580,765,452,62,8.1,36,8
S01000662,S02000116,Angus - Letham and Glamis,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,3960,13,No,4352,4229,4985,3875,4486,583,3139,648,411,55,8.0,30,7.0,4221,13,No,4876,4450.5,4932,3581,4486,736,3630,621,410,34,5.5,30,7.3,4261,14,No,4715,4713,5094,3999,4486,549,530,353,32,6,25,7.1
S01000663,S02000120,Angus - Forfar East,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,4149,13,No,3590,4120,4145,4001,5233,1750,5545,668,396,75,11.0,30,7.0,4982,16,No,4616,4794,4751,4203,5233,2514,5624,717,434,45,6.3,28,6.5,4581,15,No,4121,5209.5,5526,3036,5233,1644,702,414,57,8.1,24,5.8
S01000664,S02000122,Angus - Friockheim,307,Angus - Arbroath East and Lunan,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,3061,10,No,3844,3350,3655,3077,5087,361,3612,841,494,90,10.0,45,10.0,3282,11,No,3984,3583,3702,3321,5087,346,5439,860,499,73,8.5,49,9.8,3514,11,No,4313,3391,4459,3080,5087,580,774,487,58,7.5,54,11.1
S01000665,S02000116,Angus - Letham and Glamis,303,Angus - Forfar and District,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,3899,12,No,3749,5258,5005,2486,3786,584,5993,653,406,70,11.0,20,5.0,3756,12,No,3943,4205,4766,3274,3786,529,6336,683,414,59,8.6,33,8.0,4245,14,No,4745,4383.5,5186,3834,3786,776,675,404,40,5.9,32,7.9
S01000666,S02000117,Angus - Kirriemuir Landward,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,4815,15,No,4467,4203,5950,4792,6291,1523,5995,521,295,40,8.0,20,7.0,5466,17,No,4428,5163,6411,5244,6291,2435,5780,505,288,35,6.9,16,5.6,5271,17,No,5178,4991.5,6319,5208,6291,1200,493,300,22,4.5,19,6.3
S01000667,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,4742,15,No,3573,4322,4847,4585,4314,5495,2993,955,570,105,11.0,40,7.0,4742,15,No,3861,4222,4186,4781,4314,5229,3408,1004,618,89,8.9,49,7.9,4888,16,No,4344,4408,3728,4780,4314,4600,981,611,72,7.3,48,7.9
S01000668,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,1995,7,No,1036,2278,3078,2429,3286,5652,1339,885,508,240,27.0,70,13.0,2542,8,No,1413,2789.5,3744,2326,3286,5911,2350,915,523,195,21.3,66,12.6,2501,8,No,1493,2476,4926,2009,3286,5082,909,493,200,22,73,14.8
S01000669,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,2930,10,No,2367,2702,2588,4432,2906,6369,691,737,418,125,17.0,50,12.0,2817,9,No,2039,2719.5,3306,5152,2906,6128,243,741,402,127,17.1,52,12.9,3646,12,No,2646,2997,3389,5105,2906,5793,785,421,114,14.5,53,12.6
S01000670,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,3893,12,No,3222,3132,4395,3529,5003,4213,3985,611,372,80,13.0,40,10.0,3374,11,No,2848,2904,3660,2784,5003,4917,3201,616,354,80,13.0,43,12.1,4014,13,No,3421.5,3107.5,4904,3738,5003,4122,566,338,62,11,41,12.1
S01000671,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,4593,15,No,3651,4202,4340,4439,3493,4154,4501,575,309,60,11.0,20,7.0,4200,13,No,2877,3930.5,4168,5567,3493,3924,3576,591,320,76,12.9,28,8.8,3686,12,No,2803,2621,5820,5062,3493,3266,622,354,85,13.7,50,14.1
S01000672,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,4271,14,No,3048,3312,5290,4739,5338,4385,4796,650,374,90,14.0,35,10.0,4361,14,No,3517,3989.5,3892,4085,5338,4250,4454,654,398,67,10.2,34,8.5,4232,14,No,2936,4090.5,5352,4256,5338,3098,628,377,82,13.1,33,8.8
S01000673,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,5685,18,No,5093,5889,5586,5566,5784,1980,5377,647,363,35,6.0,15,3.0,5707,18,No,5519,5371,5504,4904,5784,2316,6121,681,412,25,3.7,21,5.1,5583,18,No,5554,5857,5819,5319,5784,1163,750,463,25,3.3,19,4.1
S01000674,S02000121,Angus - Lunan,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,3383,11,No,3790,3582,4573,3168,3051,602,4003,1018,658,105,10.0,60,9.0,3112,10,No,3296,3492,3942,3359,3051,726,2306,976,626,109,11.2,63,10.1,3575,11,No,3473,4125,4131,4236,3051,658,984,601,106,10.8,52,8.7
S01000675,S02000123,Angus - Kirriemuir,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,5910,19,No,6071,6252,5709,5526,6451,1279,6223,765,428,25,3.0,10,2.0,5963,19,No,6187.5,6385,5950,5174,6451,1200,5537,800,448,16,2.0,10,2.2,5610,18,No,5769,5866.5,6263,5431,6451,851,722,416,20,2.8,17,4.1
S01000676,S02000117,Angus - Kirriemuir Landward,301,Angus - Kirriemuir and Dean,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,4028,13,No,4248,4865,5216,3264,1907.5,554,4699,533,328,45,9.0,15,6.0,2964,10,No,2920,2784,4195,3673,1907.5,663,6239,476,277,60,12.6,35,12.6,2641,9,No,2458,2949,4000,4858,1907.5,410,501,290,78,15.6,37,12.8
S01000677,S02000122,Angus - Friockheim,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,2274,7,No,2229,2873,3623,2124,2822,465,3432,859,537,155,18.0,60,11.0,2283,8,No,2558,2288,3506,2690,2822,426,4742,853,495,122,14.3,73,14.7,2341,8,No,2590,2720,2639,3439,2822,407,822,473,122,14.8,65,13.7
S01000678,S02000121,Angus - Lunan,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,4597,15,No,3721,4337,5075,4155,4571,2830,4746,955,576,100,11.0,40,7.0,4198,13,No,3648,3637,4375,3735,4571,2892,6039,943,580,91,9.7,56,9.7,4274,14,No,3960,3920,5096,3784,4571,2078,993,623,87,8.8,58,9.3
S01000679,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,1804,6,No,1133,2287,2867,1803,2046,5456,619,686,449,180,26.0,60,13.0,1763,6,No,999,2058,3622,1321,2046,5709,1853,718,452,181,25.2,72,15.9,2335,8,No,1396,2494,3778,2172,2046,5673,750,462,172,22.9,68,14.7
S01000680,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,1808,6,No,1450,1263,3452,2273,2338,5561,1340,903,554,205,23.0,105,19.0,1857,6,No,1621,1190,3517,2390,2338,5252,1559,908,528,180,19.8,112,21.2,2235,7,No,1880,1771.5,3485,2494,2338,3866,778,471,148,19,87,18.5
S01000681,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,1550,5,No,1173,1443,1942,2157,2322.5,6389,595,795,511,205,26.0,90,18.0,2049,7,No,1437,1776.5,2311,3025,2322.5,6467,1620,738,483,156,21.1,84,17.4,2476,8,No,1600,2241,2723,3534,2322.5,6474,802,490,169,21.1,78,15.9
S01000682,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2819,9,No,3116,2709,3440,2606,1586,6364,128,753,420,105,13.0,50,12.0,2125,7,No,1841.5,2158,3368,2350,1586,6178,179,657,383,121,18.4,59,15.4,2841,9,No,2384.5,2693,1914,3845,1586,6384,644,376,103,16,52,13.8
S01000683,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,4571,15,No,4168,3917,4703,4024,3861,4867,2111,528,342,50,9.0,25,8.0,3801,12,No,3490,3233,4278,2922,3861,4106,3507,513,346,53,10.3,38,11.0,4429,14,No,3545.5,3925,5044,4347,3861,3816,525,355,55,10.5,33,9.3
S01000684,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,1638,6,No,960,1508,2789,2459,3229.5,5375,1075,663,381,185,28.0,65,17.0,2173,7,No,1481,1668,3066,2937,3229.5,5295,3300,674,382,140,20.8,69,18.1,2479,8,No,1779.5,1969,3554,2578,3229.5,6316,687,370,136,19.8,64,17.3
S01000685,S02000124,Angus - Montrose South,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,4295,14,No,3599,3714,3859,4887,4904,3680,3443,823,453,90,11.0,40,8.0,4284,14,No,3124,3936,3923,5070,4904,3482,5189,836,481,99,11.8,42,8.7,4040,13,No,2839,3308,5669,4147,4904,4415,843,492,114,13.5,56,11.4
S01000686,S02000125,Angus - Montrose North,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,3498,11,No,2614,3298,3508,3085,2584,5360,4446,738,423,115,16.0,45,10.0,2708,9,No,1384,2564,4095,3873,2584,5367,2959,700,415,151,21.6,56,13.5,3854,12,No,2966,3112.5,4805,3792,2584,6115,760,462,98,12.9,56,12.1
S01000687,S02000125,Angus - Montrose North,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2342,8,No,2144,1959,3268,2363,3188,3467,1726,827,470,150,18.0,70,15.0,2743,9,No,2126,2055,4502,2950,3188,3167,4804,857,483,142,16.6,77,15.9,3251,10,No,2592,2660.5,4274,2745,3188,5759,789,452,117,14.8,63,13.9
S01000688,S02000125,Angus - Montrose North,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,3637,12,No,3394,3156,4264,2856,5223,3604,2583,712,387,85,12.0,40,10.0,4053,13,No,3491,3381,4571,4215,5223,3057,3628,755,431,78,10.3,45,10.4,4401,14,No,3257.5,3705,4718,4674,5223,4811,792,467,92,11.6,47,10.1
S01000689,S02000122,Angus - Friockheim,302,Angus - Brechin and Edzell,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,2699,9,No,2919,2885,4139,4219,1807,160,6453,658,414,95,14.0,50,11.0,2347,8,No,3140.5,2794,3524,2640,1807,96,6243,619,381,73,11.8,48,12.6,2505,8,No,2162,3418,6250,3941,1807,128,611,382,105,17.2,42,11
S01000690,S02000125,Angus - Montrose North,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,5539,18,No,5473,5220,5897,4586,6340,2177,5242,911,505,45,5.0,20,5.0,5074,16,No,4695,4502,5985,5108,6340,1746,5611,847,489,51,6.0,35,7.2,5898,19,No,5485,4724,6203,4806,6340,4250,787,468,28,3.6,33,7.1
S01000691,S02000125,Angus - Montrose North,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,3030,10,No,2572,2836,4096,2899,4643,2254,3104,736,435,120,16.0,50,11.0,2809,9,No,2459,2574,3721,2762,4643,1828,4144,750,431,111,14.8,58,13.5,3068,10,No,2271,3752,5087,1713,4643,2198,772,466,128,16.6,46,9.9
S01000692,S02000126,Angus - Brechin East,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,859,3,Yes,714,831,2565,496,2164,3722,867,637,383,200,31.0,85,22.0,951,3,Yes,932,719.5,2188,1142,2164,2288,762,615,396,160,26.0,100,25.3,1075,4,No,801,1074,1688,1096,2164,3995,753,475,224,29.7,111,23.4
S01000693,S02000126,Angus - Brechin East,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,1308,5,No,1109,1540,2450,746,2132,4414,609,974,541,255,26.0,90,17.0,971,3,Yes,993,982,2053,342,2132,3668,1546,927,528,234,25.2,121,22.9,1730,6,No,1266,1705.5,1746,2260,2132,5763,926,530,223,24.1,100,18.9
S01000694,S02000125,Angus - Montrose North,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,2099,7,No,1687,1983,3164,1970,3773,2043,5327,667,413,140,21.0,65,15.0,2216,7,No,1804,2160.5,3483,2817,3773,1369,3227,713,455,133,18.7,70,15.4,2381,8,No,2173,2146.5,3986,2026,3773,1942,724,463,124,17.1,76,16.4
S01000695,S02000126,Angus - Brechin East,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,3818,12,No,4165,3415,3912,1966,3977.5,4132,3517,725,461,70,9.0,45,9.0,3432,11,No,3105,3370,3937,2223,3977.5,3641,3182,697,439,83,11.9,46,10.5,3943,13,No,3309,3452,4408,3278,3977.5,4327,745,468,85,11.4,51,10.9
S01000696,S02000127,Angus - Brechin West,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,3162,10,No,2580,3830,2573,3024,2742,6147,688,693,406,110,16.0,30,8.0,2635,9,No,2037,3138.5,2178,2292,2742,5989,1493,694,400,119,17.1,45,11.3,3435,11,No,2977,3213,2006,4086,2742,6201,731,442,94,12.9,52,11.8
S01000697,S02000128,Angus - Hillside,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,3762,12,No,4022,4133,3805,4050,1470,656,5953,627,370,60,10.0,30,7.0,3083,10,No,2916.5,3326.5,3312,4403,1470,676,5757,498,301,63,12.7,32,10.6,3037,10,No,2659,3848.5,4038,4345,1470,691,492,292,71,14.4,28,9.6
S01000698,S02000127,Angus - Brechin West,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,4122,13,No,3618,4665,4290,2106,4597,5698,1570,630,369,70,11.0,20,6.0,3585,12,No,2625,3810,5157,2230,4597,5743,1595,663,362,93,14.0,33,9.1,4246,14,No,3096,4098,4387,3328,4597,5842,642,355,79,12.3,31,8.7
S01000699,S02000126,Angus - Brechin East,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,2240,7,No,1928,2855,2475,1714,5095,3845,613,584,294,115,20.0,35,11.0,3130,10,No,3263.5,3150,2782,1793,5095,3786,3280,582,303,66,11.3,34,11.2,3436,11,No,3660,3021,3048,2571,5095,2978,658,345,66,10,43,12.5
S01000700,S02000128,Angus - Hillside,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,2,Other Urban Areas,3367,11,No,2545,4059,4476,2848,5074.5,1372,4865,798,518,125,16.0,40,8.0,3364,11,No,2696,4254,4487,3072,5074.5,1161,2788,841,535,115,13.7,42,7.9,3521,11,No,2349,3960,5611,3995,5074.5,1233,879,564,142,16.2,52,9.2
S01000701,S02000127,Angus - Brechin West,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,4962,16,No,4554,5233,4755,4975,6103,1776,3463,897,487,65,8.0,20,5.0,5275,17,No,4590,5678,4881,4647,6103,2722,3800,926,521,59,6.4,23,4.4,5113,16,No,4391,5164,5806,5417,6103,1449,920,507,66,7.2,30,5.9
S01000702,S02000127,Angus - Brechin West,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,6255,20,No,5763,6288,5712,5115,6054,3968,5512,502,273,20,4.0,5,2.0,5977,19,No,5606,5966,4807,4505,6054,4301,4332,526,299,18,3.4,11,3.7,5843,18,No,5318.5,5198,5129,5393,6054,3656,522,309,21,4,18,5.8
S01000703,S02000127,Angus - Brechin West,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,3,Accessible Small Towns,3834,12,No,3365,3576,4369,2826,5054,2620,5324,737,419,90,12.0,35,9.0,3985,13,No,3313,4193,3733,2815,5054,3298,5245,730,412,81,11.1,33,8.0,4119,13,No,3782,3835,4624,3541,5054,2245,741,416,70,9.4,40,9.6
S01000704,S02000129,Angus - Angus Glens,302,Angus - Brechin and Edzell,59,North Tayside,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,4017,13,No,4748,4461,5619,4214,2905,203,5723,940,648,65,7.0,40,7.0,3708,12,No,4524,4600,5303,4111,2905,116,4973,852,595,56,6.6,41,6.9,3843,12,No,4171.5,5093,6235,3972,2905,174,880,605,70,8,37,6.1
S01000705,S02000128,Angus - Hillside,308,Angus - Montrose and District,5,Angus,120,Angus,S03000038,Angus Community Health Partnership,S08000013,Tayside,5,Accessible Rural,4883,16,No,4417,5059,5593,4691,6061,1264,5168,1150,668,90,8.0,35,5.0,4716,15,No,5186,4350,5611,4021,6061,1018,5572,1161,687,53,4.6,52,7.6,5694,18,No,5219,5486,6368,4593,6061,2296,1146,685,50,4.4,35,5.1
